,KEY,IS_BOX_INTERSECTING,IS_TIME_INTERSECTING,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,STATIONID,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
54,2017/04/06/KLWX/KLWX20170406_071750_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:17:50,2017-04-06 07:23:00
55,2017/04/06/KLWX/KLWX20170406_072300_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:23:00,2017-04-06 07:28:10
56,2017/04/06/KLWX/KLWX20170406_072808_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:28:08,2017-04-06 07:33:18
57,2017/04/06/KLWX/KLWX20170406_073317_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:33:17,2017-04-06 07:38:27
58,2017/04/06/KLWX/KLWX20170406_073825_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:38:25,2017-04-06 07:43:35
59,2017/04/06/KLWX/KLWX20170406_074333_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:43:33,2017-04-06 07:48:43
60,2017/04/06/KLWX/KLWX20170406_074843_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:48:43,2017-04-06 07:53:53
61,2017/04/06/KLWX/KLWX20170406_075419_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:54:19,2017-04-06 07:59:29
62,2017/04/06/KLWX/KLWX20170406_075929_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:59:29,2017-04-06 08:04:39
63,2017/04/06/KLWX/KLWX20170406_080505_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:05:05,2017-04-06 08:10:15
64,2017/04/06/KLWX/KLWX20170406_081112_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:11:12,2017-04-06 08:16:22
65,2017/04/06/KLWX/KLWX20170406_081648_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:16:48,2017-04-06 08:21:58
66,2017/04/06/KLWX/KLWX20170406_082224_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:22:24,2017-04-06 08:27:34
67,2017/04/06/KLWX/KLWX20170406_082801_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:28:01,2017-04-06 08:33:11
68,2017/04/06/KLWX/KLWX20170406_083337_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:33:37,2017-04-06 08:38:47
69,2017/04/06/KLWX/KLWX20170406_083847_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:38:47,2017-04-06 08:43:57
70,2017/04/06/KLWX/KLWX20170406_084355_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:43:55,2017-04-06 08:49:05
71,2017/04/06/KLWX/KLWX20170406_084903_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 08:49:03,2017-04-06 08:54:13
