,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
48,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050052187_e20172050054559_c20172050055009.nc,0,9.295472,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:52:18,2017-07-24 00:54:55
49,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050057187_e20172050059559_c20172050100010.nc,0,9.103437,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:57:18,2017-07-24 00:59:55
50,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050012187_e20172050014565_c20172050015000.nc,0,2.629589,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:12:18,2017-07-24 00:14:56
51,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050017187_e20172050019565_c20172050020011.nc,0,2.5622700000000003,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:17:18,2017-07-24 00:19:56
52,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050022187_e20172050024565_c20172050025001.nc,0,2.49246,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:22:18,2017-07-24 00:24:56
53,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050027187_e20172050029565_c20172050030011.nc,0,2.413876,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:27:18,2017-07-24 00:29:56
54,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050032187_e20172050034565_c20172050035008.nc,0,2.336805,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:32:18,2017-07-24 00:34:56
55,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050037187_e20172050039565_c20172050040002.nc,0,2.2574490000000003,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:37:18,2017-07-24 00:39:56
56,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050042187_e20172050044565_c20172050045010.nc,0,2.187616,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:42:18,2017-07-24 00:44:56
57,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050047187_e20172050049565_c20172050050003.nc,0,2.105915,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:47:18,2017-07-24 00:49:56
58,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050052187_e20172050054565_c20172050054599.nc,0,2.0280400000000003,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:52:18,2017-07-24 00:54:56
59,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C06_G16_s20172050057187_e20172050059565_c20172050100009.nc,0,1.959071,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:57:18,2017-07-24 00:59:56
